,layers,layers_config,dropout,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
184,[512→64],"[(512, 'silu'), (64, 'leaky_relu')]",0.3,0.97,512,0.01,0.01,1.5482,0.6577,31
185,[512],"[(512, 'silu')]",0.1,0.99,512,0.01,0.1,1.5488,0.6742,16
186,[256],"[(256, 'leaky_relu')]",0.5,0.99,258,0.01,0.001,1.5489,0.6452,18
187,[512],"[(512, 'gelu')]",0.1,0.97,258,0.01,0.001,1.5501,0.6937,14
188,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.97,512,0.01,0.001,1.5504,0.6537,19
189,[256],"[(256, 'gelu')]",0.1,0.99,258,0.01,0.1,1.5508,0.6589,15
190,[512→64],"[(512, 'silu'), (64, 'leaky_relu')]",0.5,0.99,512,0.01,0.1,1.551,0.6358,60
191,[256],"[(256, 'gelu')]",0.1,0.99,512,0.01,0.1,1.5532,0.6616,17
192,[512],"[(512, 'silu')]",0.5,0.99,258,0.01,0.001,1.5537,0.6759,16
193,[256→64],"[(256, 'gelu'), (64, 'silu')]",0.5,0.99,512,0.01,0.1,1.5539,0.6075,40
194,[256],"[(256, 'silu')]",0.5,0.99,258,0.01,0.01,1.5545,0.6658,19
195,[256→64],"[(256, 'gelu'), (64, 'silu')]",0.3,0.97,512,0.01,0.001,1.5553,0.6294,25
196,[256→64],"[(256, 'gelu'), (64, 'silu')]",0.5,0.97,258,0.01,0.1,1.5554,0.6048,39
197,[512],"[(512, 'leaky_relu')]",0.1,0.99,512,0.01,0.1,1.5573,0.6646,17
198,[512→64],"[(512, 'silu'), (64, 'leaky_relu')]",0.5,0.97,512,0.01,0.001,1.5573,0.6315,62
199,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.5,0.99,258,0.01,0.1,1.5574,0.5923,39
200,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.3,0.97,258,0.01,0.01,1.5577,0.6475,18
201,[512],"[(512, 'leaky_relu')]",0.1,0.99,512,0.01,0.01,1.5582,0.6608,16
202,[512→64],"[(512, 'silu'), (64, 'leaky_relu')]",0.3,0.97,258,0.01,0.1,1.5586,0.6683,23
203,[256→64],"[(256, 'gelu'), (64, 'silu')]",0.3,0.97,258,0.01,0.1,1.5589,0.6438,23
204,[512→64],"[(512, 'silu'), (64, 'gelu')]",0.1,0.97,258,0.01,0.1,1.5591,0.6608,17
205,[512],"[(512, 'silu')]",0.3,0.99,258,0.01,0.01,1.5597,0.68,15
206,[256],"[(256, 'leaky_relu')]",0.3,0.99,512,0.01,0.01,1.56,0.6545,21
207,[256],"[(256, 'gelu')]",0.3,0.99,258,0.01,0.001,1.5608,0.6768,15
208,[256],"[(256, 'gelu')]",0.3,0.99,512,0.01,0.001,1.5616,0.6686,16
209,[256→64],"[(256, 'gelu'), (64, 'silu')]",0.1,0.97,512,0.01,0.1,1.5636,0.6374,17
210,[512→64],"[(512, 'silu'), (64, 'leaky_relu')]",0.3,0.99,258,0.01,0.1,1.5643,0.6605,23
211,[512→64],"[(512, 'silu'), (64, 'leaky_relu')]",0.5,0.99,258,0.01,0.1,1.5651,0.6192,49
212,[512],"[(512, 'gelu')]",0.3,0.99,258,0.01,0.01,1.5658,0.6826,14
